59,"Veteran, The",,,,,,
60,"Computer Vision, A Modern Approach",,,,,,
61,"Phantom of Manhattan, The",,,,,,
62,"Deceiver, The",,,,,,
63,Design with OpAmps,,,,,,
64,From Beirut to Jerusalem,,,,,,
65,"Case of the Lame Canary, The",,,,,,
66,Maqta-e-Ghalib,,,,,,
67,Sea of Poppies,,,,,,
68,"Information, The",,,,,,
69,Doctor in the Nude,,,,,,
70,Doctor on the Brain,,,,,,
71,Fundamentals of Wavelets,,,,,,
72,Econometric Analysis,,,,,,
73,"Brethren, The",,,,,,
74,Soft Computing & Intelligent Systems,,,,,,
75,"Raisin in the Sun, A",,,,,,
76,Free Will,,,,,,
77,God Created the Integers,,,,,,
78,"Theory of Everything, The",,,,,,
79,Neural Networks,,,,,,
80,Physics & Philosophy,,,,,,
81,Catch 22,,,,,,
82,"Farewell to Arms, A",,,,,,
83,Mein Kampf,,,,,,
84,"Hunchback of Notre Dame, The",,,,,,
85,Clash of Civilizations and Remaking of the World Order,,,,,,
86,Flashpoint,,,,,,
87,Eyeless in Gaza,,,,,,
88,Talking Straight,,,,,,
89,Batatyachi Chal,,,,,,
90,Hafasavnuk,,,,,,
91,Urlasurla,,,,,,
92,Data Analysis with Open Source Tools,,,,,,
93,"Trial, The",,,,,,
94,Manasa,,,,,,
95,Let Us C,,,,,,
96,Pointers in C,,,,,,
97,"Arthashastra, The",,,,,,
98,How to Think Like Sherlock Holmes,,,,,,
99,O Jerusalem!,,,,,,
100,"City of Joy, The",,,,,,
101,Freedom at Midnight,,,,,,
102,Girl with the Dragon Tattoo,,,,,,
103,Girl who kicked the Hornet's Nest,,,,,,
104,Girl who played with Fire,,,,,,
105,"Prince, The",,,,,,
106,"Maugham's Collected Short Stories, Vol 3",,,,,,
107,Ashenden of The British Agent,,,,,,
108,"Moon and Sixpence, The",,,,,,
109,"Trembling of a Leaf, The",,,,,,
110,Superman Earth One - 1,,,,,,
111,Superman Earth One - 2,,,,,,
112,Justice League: Throne of Atlantis,,,,,,
113,Justice League: The Villain's Journey,,,,,,
114,"Death of Superman, The",,,,,,
115,History of the DC Universe,,,,,,
116,Batman: The Long Halloween,,,,,,
117,Python for Data Analysis,,,,,,
118,Integration of the Indian States,,,,,,
119,"Drunkard's Walk, The",,,,,,
120,Power Electronics - Mohan,,,,,,
121,In a Free State,,,,,,
122,Half A Life,,,,,,
123,India's Legal System,,,,,,
124,Scoop!,,,,,,
125,"Discovery of India, The",,,,,,
126,Data Mining Handbook,,,,,,
127,Making Software,,,,,,
128,Down and Out in Paris & London,,,,,,
129,Animal Farm,,,,,,
130,We the People,,,,,,
131,We the Nation,,,,,,
132,"Last Lecture, The",,,,,,
133,Zen & The Art of Motorcycle Maintenance,,,,,,
134,Tales of Mystery and Imagination,,,,,,
135,Statistical Decision Theory',,,,,,
136,Batman Earth One,,,,,,
137,Return of the Primitive,,,,,,
138,We the Living,,,,,,
139,Ayn Rand Answers,,,,,,
140,Philosophy: Who Needs It,,,,,,
141,"World's Great Thinkers, The",,,,,,
142,"Justice, Judiciary and Democracy",,,,,,
143,Power Electronics - Rashid,,,,,,
144,"Cathedral and the Bazaar, The",,,,,,
145,Tales of Beedle the Bard,,,,,,
146,On Education,,,,,,
147,History of Western Philosophy,,,,,,
148,Unpopular Essays,,,,,,
149,Empire of the Mughal - The Tainted Throne,,,,,,
150,Empire of the Mughal - Brothers at War,,,,,,
151,Empire of the Mughal - Ruler of the World,,,,,,
152,Empire of the Mughal - The Serpent's Tooth,,,,,,
153,Empire of the Mughal - Raiders from the North,,,,,,
154,Broca's Brain,,,,,,
155,Orientalism,,,,,,
156,More Tears to Cry,,,,,,
157,Data Scientists at Work,,,,,,
158,"Argumentative Indian, The",,,,,,
159,"Idea of Justice, The",,,,,,
160,Identity & Violence,,,,,,
161,Rationality & Freedom,,,,,,
162,Image Processing & Mathematical Morphology,,,,,,
163,"Signal and the Noise, The",,,,,,
164,Simpsons & Their Mathematical Secrets,,,,,,
165,"Code Book, The",,,,,,
166,"Wealth of Nations, The",,,,,,
167,"Killing Joke, The",,,,,,
168,Crisis on Infinite Earths,,,,,,
169,"Courtroom Genius, The",,,,,,
170,"Russian Journal, A",,,,,,
171,Journal of a Novel,,,,,,
172,Once There Was a War,,,,,,
173,"Moon is Down, The",,,,,,
174,"Winter of Our Discontent, The",,,,,,
175,Burning Bright,,,,,,
176,"Life in Letters, A",,,,,,
177,"Grapes of Wrath, The",,,,,,
178,Textbook of Economic Theory,,,,,,
179,"Amulet of Samarkand, The",,,,,,
180,Structure & Interpretation of Computer Programs,,,,,,
181,Data Structures Using C & C++,,,,,,
182,"Analysis, Vol I",,,,,,
183,Structure and Randomness,,,,,,
184,Principles of Communication Systems,,,,,,
185,India from Midnight to Milennium,,,,,,
186,"Great Indian Novel, The",,,,,,
187,Bookless in Baghdad,,,,,,
188,Elements of Information Theory,,,,,,
189,"Nature of Statistical Learning Theory, The",,,,,,
190,Statistical Learning Theory,,,,,,
191,20000 Leagues Under the Sea,,,,,,
192,Birth of a Theorem,,,,,,
193,Slaughterhouse Five,,,,,,
194,"New Machiavelli, The",,,,,,
195,"Short History of the World, A",,,,,,
196,"Devil's Advocate, The",,,,,,
197,All the President's Men,,,,,,
198,Veil: Secret Wars of the CIA,,,,,,
199,Dongri to Dubai,,,,,,
